Riding,B1Allan_Percent,B1Allan_Votes,B1Elliott_Percent,B1Elliott_Votes,B1Ford_Percent,B1Ford_Votes,B1Mulruney_Percent,B1Mulruney_Votes,B2Elliott_Percent,B2Elliott_Votes,B2Ford_Percent,B2Ford_Votes,B2Mulruney_Percent,B2Mulruney_Votes,B3Elliott_Percent,B3Elliott_Votes,B3Ford_Percent,B3Ford_Votes
Ajax ,13.35 ,69,47.97 ,248,32.30 ,167,6.38 ,33,50.10 ,257,43.28 ,222,6.63 ,34,55.36 ,284,44.64 ,229
Algoma—Manitoulin,23.94 ,45,27.66 ,52,38.83 ,73,9.57 ,18,29.41 ,55,59.89 ,112,10.70 ,20,37.63 ,70,62.37 ,116
Aurora—Oak Ridges—Richmond Hill ,16.25 ,103,19.40 ,123,55.36 ,351,8.99 ,57,20.19 ,128,70.51 ,447,9.31 ,59,26.98 ,170,73.02 ,460
Barrie—Innisfil,9.18 ,64,32.14 ,224,42.18 ,294,16.50 ,115,33.00 ,229,50.14 ,348,16.86 ,117,43.61 ,297,56.39 ,384
Barrie—Springwater—Oro-Medonte ,8.21 ,70,46.54 ,397,31.30 ,267,13.95 ,119,47.93 ,405,37.52 ,317,14.56 ,123,58.10 ,484,41.90 ,349
Bay of Quinte ,11.76 ,91,56.85 ,440,22.35 ,173,9.04 ,70,57.76 ,443,32.86 ,252,9.39 ,72,64.48 ,492,35.52 ,271
Beaches—East York,7.40 ,37,41.20 ,206,31.40 ,157,20.00 ,100,41.60 ,208,38.00 ,190,20.40 ,102,59.96 ,292,40.04 ,195
Brampton Centre,17.11 ,39,36.40 ,83,39.47 ,90,7.02 ,16,37.28 ,85,55.70 ,127,7.02 ,16,42.48 ,96,57.52 ,130
Brampton East,3.44 ,20,47.50 ,276,32.53 ,189,16.52 ,96,47.93 ,278,35.52 ,206,16.55 ,96,58.47 ,328,41.53 ,233
Brampton North,12.33 ,37,33.33 ,100,40.67 ,122,13.67 ,41,34.34 ,102,50.51 ,150,15.15 ,45,44.41 ,131,55.59 ,164
Brampton South ,9.68 ,36,26.88 ,100,30.65 ,114,32.80 ,122,28.03 ,104,38.81 ,144,33.15 ,123,59.08 ,218,40.92 ,151
Brampton West ,8.62 ,28,52.62 ,171,32.31 ,105,6.46 ,21,53.56 ,173,39.94 ,129,6.50 ,21,56.83 ,183,43.17 ,139
Brantford—Brant ,23.85 ,176,28.18 ,208,32.66 ,241,15.31 ,113,32.01 ,234,50.75 ,371,17.24 ,126,43.91 ,317,56.09 ,405
Bruce—Grey—Owen Sound ,19.55 ,166,40.17 ,341,22.85 ,194,17.43 ,148,41.86 ,352,39.00 ,328,19.14 ,161,56.04 ,459,43.96 ,360
Burlington ,11.30 ,75,40.06 ,266,29.97 ,199,18.68 ,124,40.88 ,271,39.52 ,262,19.61 ,130,55.90 ,365,44.10 ,288
Cambridge,21.82 ,139,42.86 ,273,23.08 ,147,12.25 ,78,47.06 ,296,39.43 ,248,13.51 ,85,57.79 ,360,42.22 ,263
Carleton ,18.00 ,187,27.72 ,288,26.47 ,275,27.82 ,289,29.14 ,301,41.34 ,427,29.53 ,305,50.64 ,511,49.36 ,498
Chatham—Kent—Leamington ,23.08 ,108,30.34 ,142,29.49 ,138,17.09 ,80,33.33 ,152,48.03 ,219,18.64 ,85,46.53 ,208,53.47 ,239
Davenport,10.90 ,23,26.54 ,56,45.02 ,95,17.54 ,37,27.49 ,58,54.98 ,116,17.54 ,37,40.29 ,83,59.71 ,123
Don Valley East ,11.23 ,42,37.97 ,142,39.84 ,149,10.96 ,41,39.04 ,146,49.47 ,185,11.50 ,43,46.47 ,171,53.53 ,197
Don Valley North ,13.50 ,91,20.62 ,139,57.27 ,386,8.61 ,58,21.34 ,143,69.40 ,465,9.25 ,62,26.43 ,176,73.57 ,490
Don Valley West ,4.27 ,57,45.43 ,606,19.42 ,259,30.89 ,412,46.58 ,620,22.16 ,295,31.26 ,416,73.88 ,939,26.12 ,332
Dufferin—Caledon ,13.42 ,132,32.93 ,324,37.70 ,371,15.96 ,157,33.98 ,333,49.18 ,482,16.84 ,165,46.64 ,451,53.36 ,516
Durham ,9.87 ,117,57.22 ,678,26.84 ,318,6.08 ,72,58.02 ,687,35.05 ,415,6.93 ,82,63.34 ,748,36.66 ,433
Eglinton—Lawrence,4.53 ,40,50.79 ,449,17.99 ,159,26.70 ,236,51.08 ,451,21.63 ,191,27.29 ,241,74.26 ,629,25.74 ,218
Elgin—Middlesex—London ,21.84 ,154,29.50 ,208,26.53 ,187,22.13 ,156,31.24 ,219,44.22 ,310,24.54 ,172,49.11 ,330,50.89 ,342
Essex,32.71 ,123,26.06 ,98,23.94 ,90,17.29 ,65,27.87 ,102,51.91 ,190,20.22 ,74,42.14 ,150,57.87 ,206
