XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1301567.23098719,5451754.25584112,0,37860,16.000000,57.000000,057,Cambridge,Cambridge,7233.888710,1372475.293120
1306352.34618953,5452860.07347808,1,37861,16.000000,39.000000,039,Cambridge,Cambridge,17625.793008,16916087.338800
1298496.95442994,5451701.12728484,2,37862,16.000000,43.000000,043,Cambridge,Cambridge,7953.876057,1958114.363410
1298007.29613629,5452944.94611807,3,37863,16.000000,29.000000,029,Cambridge,Cambridge,2402.700333,233130.947441
1299524.16263229,5451916.95325534,4,37864,16.000000,49.000000,049,Cambridge,Cambridge,5247.774111,838526.083873
1301543.83879225,5453133.19147593,5,37865,16.000000,54.000000,054,Cambridge,Cambridge,2706.952251,239616.604664
1303282.18735104,5444479.24482982,6,37866,16.000000,60.000000,060,Cambridge,Cambridge,24926.454997,32258167.517000
1298232.88332549,5442933.30835094,7,37867,16.000000,59.000000,059,Cambridge,Cambridge,18722.908531,16964589.877500
1298447.66671862,5453890.66045242,8,37868,16.000000,31.000000,031,Cambridge,Cambridge,3407.739530,602419.995568
1297975.99502731,5452591.76732044,9,37869,16.000000,30.000000,030,Cambridge,Cambridge,1702.393893,146048.538521
1299491.56963812,5454129.55445096,10,37870,16.000000,35.000000,035,Cambridge,Cambridge,5305.742946,839102.563842
1300029.88061218,5456881.18065895,11,37871,16.000000,16.000000,016,Cambridge,Cambridge,6147.971536,1214623.911120
1299383.91153190,5452568.26627528,12,37872,16.000000,46.000000,046,Cambridge,Cambridge,2286.195891,176717.087863
1299401.56613495,5456140.58037898,13,37873,16.000000,14.000000,014,Cambridge,Cambridge,5471.996125,828153.021165
1297407.08101185,5452197.47986707,14,37874,16.000000,20.000000,020,Cambridge,Cambridge,12326.720874,3239819.924380
1294044.78917202,5456704.67351158,15,37875,16.000000,5.000000,005,Cambridge,Cambridge,6933.540588,976148.013136
1300836.86206607,5452451.48949057,16,37876,16.000000,52.000000,052,Cambridge,Cambridge,1923.773216,128859.842088
1298977.72417768,5453372.62934755,17,37877,16.000000,707.000000,707,Cambridge,Cambridge,217.356832,2831.993608
1296596.75469520,5457655.15522224,18,37878,16.000000,702.000000,702,Cambridge,Cambridge,800.704138,31988.101049
1297983.31678336,5454622.13508288,19,37879,16.000000,22.000000,022,Cambridge,Cambridge,2736.471417,244705.053925
1294319.94066762,5454886.26432372,20,37880,16.000000,2.000000,002,Cambridge,Cambridge,22191.711215,16028063.780700
1298361.31470846,5455822.87190620,21,37881,16.000000,13.000000,013,Cambridge,Cambridge,11081.019547,1980336.255840
1301649.25629916,5453764.78030873,22,37882,16.000000,37.000000,037,Cambridge,Cambridge,12331.902211,3813451.041990
1299527.89320451,5453297.14127615,23,37883,16.000000,36.000000,036,Cambridge,Cambridge,6918.884612,822376.139663
1300461.14318276,5449058.76713468,24,37884,16.000000,45.000000,045,Cambridge,Cambridge,22592.048404,15202975.197100
